Associated Business - Associated Business Insolvency,Associated Business - HM Court Data,Associated Business - Charges on other businesses,Business - Director resignations,Business - Accounts Overdue,Business - Incorporation Date,Business - Adverse SIC Code,Director - Director bankruptcy,Director - Director disqualifications,Director - Director country of residence,Director - Director nationality,Director - Director average age,Director - Director Personal Insolvency,Psc - UBO nationality,Psc - UBO is overseas company?,Psc - Recent ownership changes,Financials - Negative Audit report,Financials - Negative Balance Sheet,Financials - Estimated Losses,Financials - Substantial Debts
11330081,,10146489,10732693,09712483,,,02107371,,06145018,09712483,,07445563,05386109,,,,01537169,05669976,09331230
12925124,,04689778,01276545,12500840,,,11973876,,06127731,02100121,,02107371,10607455,,,,09881288,03568389,04975930
07438471,,10875799,01054247,07306663,,,11402684,,06856631,03568389,,11973876,07975798,,,,03402844,07549953,09234557
04545791,,SC450928,00071382,07858105,,,12925124,,07129740,03905983,,11402684,05733564,,,,SC092731,08617659,09019843
07232405,,09680506,01373139,11762714,,,11368591,,06953791,03618073,,12925124,05680884,,,,03713667,08403630,11789938
10940052,,06341504,01252395,08712969,,,01422905,,08201481,04731667,,11368591,12572946,,,,07414875,09976260,SC345129
03333300,,04975930,00971894,07594902,,,03526455,,07367706,07437573,,01422905,00447952,,,,07858445,11494665,SC635220
09520425,,03553864,01459141,07774345,,,08015005,,07366723,12199495,,03526455,01093935,,,,02913195,09549192,13162614
07064953,,03224591,01189115,10458628,,,01336855,,07462323,13451000,,08015005,00416089,,,,11050528,07696446,06311438
12168067,,13162614,00804767,09976260,,,06885135,,07562551,09549192,,01336855,00971894,,,,07599953,12743120,08578132
03769338,,09542691,01662295,08610130,,,04545791,,09185187,04657120,,06885135,01189115,,,,09239591,08597161,09814792
05643962,,00817224,02571602,12199495,,,10940052,,08363290,00743785,,04545791,00043694,,,,06672467,07834493,09706148
12099742,,04510433,01740557,SC496701,,,09482863,,08387749,06757981,,10940052,01101649,,,,SC070496,SC230078,06822299
03402844,,04598647,02213734,12743120,,,03368517,,08762595,10630853,,09482863,01662295,,,,06938807,08539362,08915695
11178850,,06972965,01929517,05678565,,,03316595,,11854961,04945822,,03368517,02184127,,,,09034747,09339603,09542691
SC092731,,SC486204,02413935,08597161,,,04307310,,12241552,06400427,,03316595,02678057,,,,11692418,03998500,00817224
03713667,,10127417,02303591,07834493,,,06564547,,12540264,09204888,,04307310,02862369,,,,05633846,09807683,04510433
11678014,,SC509778,02717054,09174658,,,SC491766,,13167748,09724585,,06564547,03111707,,,,09784705,05083534,03965152
02913195,,04014690,02620287,09204888,,,05643962,,SC105902,11275678,,SC491766,03260618,,,,08304374,13017839,04598647
06621854,,SC587624,02624327,07929432,,,06621854,,SC102034,07561658,,05643962,03382976,,,,06642235,08514620,SC486204
11456870,,SC428447,03111707,03212874,,,10904674,,SC086301,08182742,,06621854,03322489,,,,08844002,09143932,10127417
13095115,,11210639,03260618,06627075,,,05678130,,SC407490,01753477,,13095115,03675847,,,,08862098,07051076,06647770
03380944,,SC445894,03452166,09143932,,,11239466,,SC106673,01923809,,10904674,04167526,,,,04711313,10910246,SC509778
10904674,,07310349,03408642,07867243,,,07599953,,SC537145,03212874,,05678130,04138012,,,,11881596,12303806,11458524
11053318,,09336837,03120759,12303806,,,08844489,,SC231664,05404276,,11239466,03737259,,,,07006853,07122242,10120255
11239466,,SC203818,03632235,08537832,,,09034747,,SC415244,04767792,,07599953,04156878,,,,03538827,08824373,10733517
02704053,,09136477,04193293,07787211,,,11156928,,10225502,09143932,,08844489,04736551,,,,06534035,05307766,09550454
09239591,,08116039,03962261,08439956,,,09448978,,05256769,09987937,,09034747,05118397,,,,03072059,08537832,SC428447
03954468,,11132101,03681108,07898363,,,03078095,,07851115,08371136,,11156928,05018387,,,,01873033,07787211,SC308592
06672467,,06920954,03938360,06456347,,,08862098,,SC597624,02234634,,09448978,05082525,,,,09056450,07898363,09616314
10414327,,09737449,04020027,11493281,,,00726306,,07418905,02871135,,03078095,05419332,,,,05122865,09276976,11210639
09034747,,04848835,04214056,10596426,,,10763726,,07445403,08439956,,08862098,05722148,,,,03648401,06435295,04906700
12156382,,11131189,04541208,09651927,,,10410770,,11904459,06456347,,00726306,05735303,,,,07512234,09651927,07310349
00726306,,05911740,04354279,11180371,,,01015207,,12003239,04544711,,10763726,05521344,,,,09391998,09994806,09336837
10763726,,10399030,04464937,09994806,,,06299727,,,04140658,,10410770,05600216,,,,06474798,04140658,09136477
06299727,,08574199,04634533,11254234,,,08710542,,,11546932,,01015207,05619366,,,,01184069,09127201,08116039
06101646,,08347506,04913913,SC430051,,,04038689,,,10810248,,06299727,06254586,,,,08617932,02812042,11132101
08710542,,09172336,04918005,08462263,,,06547206,,,09951969,,08710542,06183755,,,,08121941,07826234,06920954
04449912,,04457732,05694248,08619517,,,09056450,,,10614111,,04038689,06378849,,,,04369649,10669703,10441111
11934150,,08588888,05710116,08393030,,,05122865,,,02668691,,06547206,06306082,,,,10482613,08598777,09737449
03072059,,08659637,05898794,10660202,,,03756518,,,12334528,,09056450,07118599,,,,10283438,11546932,12400618
05122865,,10413560,05954331,08598777,,,07164572,,,11204582,,05122865,06646560,,,,11117872,11872349,04848835
12128399,,08612183,06296413,11546932,,,05279369,,,14361244,,03756518,07129740,,,,01451217,SC559292,10225928
08474469,,04238843,06291639,02709726,,,06474798,,,03885366,,07164572,08201481,,,,09352377,02709726,09599024
10283438,,SC612143,06192793,11028247,,,01184069,,,01312434,,05279369,07849080,,,,09935655,09188809,11131189
05972086,,03982767,06064546,10482505,,,12128399,,,NI609734,,06474798,08080146,,,,08069003,04562875,08596549
01451217,,08427781,06856631,12011173,,,08677556,,,08522370,,01184069,07179137,,,,03309338,09225484,05911740
09271351,,SC504162,06654606,09225484,,,10283438,,,07428780,,12128399,07862505,,,,04176469,02441708,05521057
09935655,,04311124,07129740,07704677,,,11117872,,,NI054920,,08677556,09762423,,,,04585380,10591408,04948758
08069003,,SC675262,07002691,08801928,,,01451217,,,06883287,,10283438,09411518,,,,09430294,10377831,07742322
03309338,,00517311,07366723,02441708,,,04898321,,,02884753,,11117872,08358179,,,,05708176,01312434,08245947
09220334,,03457906,07594378,01312434,,,09271351,,,01348877,,01451217,09185187,,,,09566841,NI609734,10399030
00875005,,04993162,09481978,NI609734,,,05735308,,,05534540,,04898321,09285991,,,,00875005,SC602543,10396380
11055224,,07268589,08885653,SC602543,,,03972116,,,05386109,,09271351,09342278,,,,06407112,08522370,08574199
08821630,,01555323,08465934,05388518,,,01980816,,,NI012184,,05735308,09308870,,,,06981168,09674586,04934181
06865379,,08617387,09807227,06449928,,,05708176,,,00939789,,03972116,08287363,,,,07106145,08372543,12274061
08191795,,11487863,08287363,05738289,,,00875005,,,10607455,,01980816,08717747,,,,08544232,09125621,09172336
08017468,,04573385,09282180,10557738,,,03725344,,,07975798,,05708176,09633125,,,,06016684,05388518,11643725
07411279,,SC362966,08481864,07829554,,,07992201,,,03125172,,00875005,08287203,,,,10632743,11252532,04669704
06428767,,08720723,08867487,11122875,,,09849417,,,00360234,,03725344,08481864,,,,06803614,06835145,06713360
09801256,,03488384,10349918,SC522869,,,08017468,,,01548414,,07992201,10830595,,,,06428767,10557738,10020954
10252159,,06233180,10867783,08282537,,,06016684,,,02334147,,09849417,11341619,,,,02773015,07315290,07159152
08857016,,00881861,10787347,07428780,,,09022528,,,06685049,,08017468,09882272,,,,05926016,10654253,08822385
06378290,,05741917,11024548,09966617,,,10055296,,,08644373,,06016684,12916607,,,,07364302,09429349,10413560
05519578,,01746847,10220888,07878178,,,06428767,,,05915713,,09022528,12020479,,,,04528483,SC522869,08612183
07814460,,09947535,11439734,03317922,,,07055859,,,05733564,,10055296,12241552,,,,06718163,08282537,04238843
07751906,,11465251,09914320,09597764,,,06885151,,,11151005,,06428767,13166222,,,,04715303,07428780,04316512
05798427,,05266207,12686532,06336895,,,10252159,,,05680884,,07055859,11947362,,,,05798427,11472677,06818928
09669502,,12400561,12579117,06926796,,,05926016,,,04720476,,06885151,SC206271,,,,04410423,09500172,03982767
06751441,,01261412,12020479,07096850,,,04715303,,,12572946,,10252159,SC407490,,,,05644604,07973145,10451135
04230032,,04790833,11838630,00939789,,,05798427,,,10641476,,05926016,SC106673,,,,03209264,12883473,08427781
07431618,,06764985,SC237510,03125172,,,06312244,,,02685331,,04715303,SC592429,,,,04230032,09248802,07722781
09335719,,03140542,SC299694,08928117,,,09669502,,,10732693,,05798427,SC666333,,,,08744297,08079818,11961952
07642449,,11007348,SC415244,03519207,,,06751441,,,01054247,,06312244,10225502,,,,05203127,04517875,SC504162
08220210,,07005883,SC592429,06685049,,,02438193,,,00447952,,09669502,10266068,,,,04960504,SC052203,04311124
07657320,,04905427,08348510,11151005,,,05588223,,,01093935,,06751441,09733526,,,,05350310,08928117,10456621
04960504,,01255640,12927101,09613330,,,07657320,,,00416089,,02438193,07433422,,,,03799848,11774323,00517311
05839628,,09937141,04663375,06821796,,,08965391,,,00227202,,05588223,05256769,,,,08334024,12171516,04410612
04805020,,04371002,07609342,02685331,,,02533129,,,00857795,,07657320,09606717,,,,07021237,08057650,03457906
06700323,,02686716,07433422,11994044,,,04805020,,,00346134,,08965391,11530374,,,,09964427,13140598,04993162
09964427,,10253758,07403006,00416089,,,03375226,,,01252395,,02533129,07851115,,,,07612309,05119181,07268589
04639062,,04806233,05256769,01525162,,,07938272,,,00971894,,04805020,NI065035,,,,04639062,04704074,01555323
08668958,,05133699,11693207,01333906,,,09964427,,,01442187,,06700323,07617290,,,,08668958,10641476,SC524149
09240055,,07173069,09606717,01189115,,,08999485,,,01189115,,03375226,07445403,,,,03050985,08914384,08617387
02690435,,06703222,03881576,01101649,,,08771212,,,00043694,,07938272,NI625551,,,,05837800,06821796,11836729
09947524,,04690332,SC597624,02453601,,,02086506,,,01101649,,09964427,07503904,,,,09240055,06125114,11487863
02535318,,SC596606,10976513,02515314,,,07941637,,,02383452,,08999485,,,,,09947524,01567398,04573385
02086506,,05630923,02538905,01851780,,,08850775,,,01662295,,08771212,,,,,04279239,05721189,10156839
07457931,,00663736,11904459,01651167,,,06444370,,,02370500,,02086506,,,,,SC412503,02702124,07283756
05631335,,07171714,07812559,01883845,,,SC355514,,,02571602,,07941637,,,,,07457931,08407103,10627257
09264136,,02586361,,02041598,,,09353792,,,02453601,,08850775,,,,,09573233,10732693,SC362966
12484009,,05849858,,01824788,,,07200665,,,02213734,,07546881,,,,,03005647,03048403,08720723
03005647,,07148857,,02495369,,,03479758,,,02168907,,06444370,,,,,11136130,00857795,10546135
SC442208,,05144497,,02823720,,,06836122,,,01991838,,SC355514,,,,,07679381,01451585,07257842
11136130,,09512041,,02821689,,,10012058,,,01929517,,09353792,,,,,05256773,01265100,03488384
07546881,,07703452,,02719511,,,02689006,,,01877012,,07200665,,,,,07649534,01525895,06854970
09353792,,SC244830,,02877927,,,09104535,,,02184127,,03479758,,,,,04379093,01600597,06233180
04656812,,10420782,,02862369,,,09915888,,,02303591,,06836122,,,,,08020637,02453601,00881861
07200665,,11007239,,03026636,,,08953716,,,02643516,,10012058,,,,,03479758,02221362,05741917
04736768,,11795152,,03313457,,,12478841,,,02793762,,02689006,,,,,04266636,02091066,01746847
10453360,,04054805,,03533041,,,02925827,,,02717054,,09104535,,,,,07956163,01765119,09947535
04333775,,09216728,,03647001,,,08385565,,,02620287,,09915888,,,,,04736768,02587210,11465251
12039699,,SC245803,,03410247,,,13313242,,,02678057,,08953716,,,,,10453360,02918953,05266207
04665911,,05312749,,03490622,,,SC298317,,,03111707,,12478841,,,,,04333775,03026636,06676382
06836122,,07235474,,03662640,,,06387168,,,02912741,,02925827,,,,,12039699,03350463,12400561
10012058,,07712318,,03685155,,,13140714,,,03260618,,08385565,,,,,04665911,03413714,01261412
02689006,,04801939,,04038636,,,07248712,,,03452166,,13313242,,,,,10324959,03452166,04790833
08878092,,09418463,,04138012,,,03027244,,,03322489,,SC298317,,,,,00535715,03490622,06764985
09104535,,09863849,,04043845,,,10601456,,,03662640,,06387168,,,,,08878092,04193293,03140542
12472997,,05451329,,04142678,,,09254621,,,03566179,,13140714,,,,,09104535,04043845,11007348
10301281,,01430146,,04001363,,,08993157,,,04119677,,07248712,,,,,12472997,04142678,11879680
06452970,,04528745,,03681108,,,01562769,,,03997470,,03027244,,,,,05355511,03884424,07005883
03765300,,SC261031,,03811440,,,07993478,,,03675847,,10601456,,,,,06452970,03879044,08244070
09915888,,01945550,,04241381,,,11772932,,,04138012,,09254621,,,,,03211482,04001363,04905427
09525277,,06623570,,04396848,,,08673761,,,03861110,,08993157,,,,,03765300,04020027,01255640
10481622,,03412866,,04544994,,,11187644,,,03737259,,01562769,,,,,09915888,04132912,10816461
07461408,,06533522,,04265020,,,07061575,,,04020027,,07993478,,,,,09957564,04171739,10245373
08385565,,11523041,,04680748,,,03427411,,,04373358,,11772932,,,,,09525277,04436731,09937141
03229690,,06913377,,04601624,,,11523540,,,04260683,,08673761,,,,,03261036,04260683,04371002
05955584,,01908352,,04720506,,,03701659,,,04354279,,11187644,,,,,05646220,04403183,02686716
13140714,,07729602,,04592657,,,04296589,,,04680748,,07061575,,,,,02925827,04409536,11989176
